Alpha_Fp2,Alpha_Fz,Alpha_Fp1,Alpha_F3,Alpha_F7,Alpha_C3,Alpha_T7,Alpha_P3,Alpha_Pz,Alpha_O1,Alpha_Oz,Alpha_O2,Alpha_P4,Alpha_C4,Alpha_T8,Alpha_F8,Alpha_F4,Alpha_Cz,Beta_Fp2,Beta_Fz,Beta_Fp1,Beta_F3,Beta_F7,Beta_C3,Beta_T7,Beta_P3,Beta_Pz,Beta_O1,Beta_Oz,Beta_O2,Beta_P4,Beta_C4,Beta_T8,Beta_F8,Beta_F4,Beta_Cz,Theta_Fp2,Theta_Fz,Theta_Fp1,Theta_F3,Theta_F7,Theta_C3,Theta_T7,Theta_P3,Theta_Pz,Theta_O1,Theta_Oz,Theta_O2,Theta_P4,Theta_C4,Theta_T8,Theta_F8,Theta_F4,Theta_Cz
0.028005,0.025543,0.033725,0.02152,0.031198,0.019469,0.020393,0.049094,0.035638,0.07642,0.037146,0.054915,0.022204,0.013256,0.022173,0.015918,0.017722,0.0084591,0.014501,0.012412,0.051514,0.013452,0.0068569,0.0034504,0.0070123,0.0068883,0.0035007,0.010571,0.0040863,0.0073597,0.004189,0.0026544,0.0054249,0.0053021,0.0060003,0.0016337,0.058126,0.066382,0.058841,0.049223,0.097802,0.03574,0.041621,0.068893,0.073656,0.14343,0.079914,0.149,0.063464,0.028193,0.049522,0.042867,0.041428,0.025362
0.066787,0.020425,0.058658,0.033809,0.037161,0.019144,0.027368,0.017928,0.033277,0.024825,0.028475,0.0092833,0.011564,0.018779,0.021983,0.037045,0.022481,0.038007,0.19696,0.067562,0.15359,0.061357,0.017514,0.013263,0.0087903,0.010796,0.0065945,0.005492,0.0059411,0.0054393,0.0084696,0.018333,0.021496,0.041116,0.050033,0.0066472,0.10165,0.025826,0.11305,0.069486,0.11241,0.034597,0.04759,0.034537,0.099069,0.059135,0.079719,0.024085,0.026778,0.031009,0.043702,0.086246,0.042422,0.10769
0.032486,0.0088515,0.030163,0.029507,0.019806,0.043389,0.017797,0.02272,0.051034,0.038443,0.041743,0.031484,0.018583,0.02527,0.015993,0.015589,0.015896,0.01695,0.090934,0.0044059,0.072445,0.027815,0.0108,0.0036986,0.0037677,0.0041958,0.0072107,0.0060281,0.0049078,0.0049147,0.0039371,0.0061804,0.0060865,0.0093968,0.012229,0.0028613,0.048613,0.01394,0.041714,0.05004,0.052175,0.043372,0.025947,0.029251,0.1616,0.095407,0.090135,0.050079,0.029033,0.031349,0.031688,0.03505,0.03422,0.026061
0.020717,0.014687,0.015166,0.019669,0.016095,0.019574,0.019952,0.047569,0.046287,0.04512,0.058255,0.043012,0.045621,0.04728,0.099135,0.01751,0.017486,0.010551,0.011412,0.0040146,0.0090301,0.0081403,0.0034821,0.0027503,0.012995,0.0033889,0.0036207,0.0063428,0.0054364,0.0062777,0.0052143,0.0028717,0.071143,0.0036165,0.0031425,0.0016722,0.059544,0.035631,0.036692,0.042216,0.053404,0.029656,0.055926,0.052329,0.093576,0.11857,0.11493,0.11391,0.07146,0.042365,0.34768,0.045091,0.038763,0.02251
0.02026,0.011899,0.010162,0.014366,0.014978,0.0091047,0.020226,0.0249,0.02295,0.026199,0.027128,0.021707,0.013168,0.0068381,0.010553,0.0062875,0.009342,0.012127,0.060433,0.0063244,0.0060336,0.0063802,0.0074528,0.0033214,0.055474,0.004232,0.0028328,0.0052731,0.005781,0.0045283,0.0028363,0.0027419,0.0032322,0.0032438,0.0082313,0.0018202,0.03974,0.021182,0.024004,0.02442,0.062961,0.026505,0.037406,0.047089,0.055291,0.060399,0.067381,0.050769,0.030912,0.019739,0.026145,0.018662,0.02249,0.024398
0.013991,0.018267,0.016622,0.015922,0.01598,0.028373,0.018981,0.023822,0.03725,0.040045,0.030072,0.048171,0.02273,0.018991,0.016935,0.051223,0.014689,0.023847,0.0063392,0.005378,0.02015,0.0053734,0.0084058,0.0027832,0.014517,0.0035999,0.0053683,0.0065675,0.0045185,0.0076833,0.003063,0.0026628,0.0050438,0.015021,0.0052482,0.0021139,0.042695,0.036808,0.043404,0.034522,0.03912,0.039371,0.037565,0.044719,0.11801,0.095559,0.072716,0.096765,0.040982,0.024395,0.045437,0.18097,0.026602,0.042241
0.031042,0.0049772,0.034237,0.013553,0.027247,0.015832,0.036015,0.023696,0.037276,0.039123,0.029102,0.028477,0.019003,0.013868,0.025508,0.025151,0.012852,0.010658,0.10288,0.0050544,0.091596,0.015021,0.024744,0.0029052,0.06589,0.0060895,0.005998,0.011214,0.0047938,0.0053893,0.004852,0.004281,0.037586,0.020968,0.009749,0.0018996,0.053196,0.012096,0.050195,0.029677,0.065547,0.043691,0.069197,0.054031,0.18929,0.097141,0.098242,0.077124,0.049709,0.033364,0.048482,0.069084,0.036607,0.033415
0.0081897,0.011993,0.015221,0.017411,0.020778,0.028243,0.028922,0.032246,0.039807,0.035644,0.046021,0.047872,0.025178,0.021843,0.02895,0.019311,0.013599,0.032927,0.0040722,0.0043509,0.011259,0.0089725,0.0068162,0.0047008,0.015975,0.0058329,0.0059263,0.006925,0.0082214,0.0099641,0.005277,0.0047567,0.023762,0.0055331,0.0070092,0.0054625,0.03051,0.050517,0.049387,0.050263,0.076883,0.091385,0.064777,0.10365,0.13429,0.10545,0.13991,0.138,0.082356,0.059994,0.080514,0.077889,0.040366,0.1254
0.017707,0.02177,0.014258,0.019129,0.014458,0.020431,0.022002,0.02992,0.019599,0.029561,0.050691,0.034027,0.033002,0.013519,0.013108,0.016178,0.017237,0.022463,0.01042,0.0044106,0.0056977,0.0047252,0.0033468,0.0030749,0.0051433,0.0044006,0.0025033,0.0048806,0.0078642,0.0064734,0.0065865,0.0026194,0.0030253,0.0033809,0.0047735,0.0019728,0.04165,0.067411,0.034864,0.051885,0.04825,0.042652,0.051464,0.059686,0.058258,0.079902,0.12243,0.069646,0.082696,0.030301,0.033751,0.054505,0.04371,0.060896
0.049929,0.014687,0.011599,0.02972,0.026043,0.050137,0.032211,0.044511,0.042806,0.054709,0.040209,0.022801,0.018927,0.029386,0.026812,0.016401,0.012781,0.012134,0.049128,0.0032619,0.0019659,0.0053069,0.0077332,0.0039986,0.0042796,0.0052877,0.0075606,0.0087208,0.0061295,0.0046413,0.0035204,0.003134,0.015067,0.004676,0.0033952,0.0016099,0.13522,0.027865,0.018297,0.04805,0.089086,0.066537,0.049648,0.077049,0.099537,0.098873,0.076274,0.045716,0.030713,0.029602,0.073933,0.044304,0.029057,0.022627
